square_id,name,type,group,region,base_purchase_price,base_rental,base_house_cost,base_hotel_cost,base_mortgage_value
0,GO,START,,,,,,
1,Pettah,PROPERTY,BROWN,COLOMBO_COMMERCIAL,1200,120,500,2000,750
2,Community Development Fund,EVENT,,,,,,
3,Maradana,PROPERTY,BROWN,COLOMBO_COMMERCIAL,1500,150,500,2000,750
4,Income Tax,TAX,,,,,,
5,Colombo Fort Railway Station,RAILWAY,,COLOMBO_COMMERCIAL,2000,250,,1000
6,Bambalapitiya,PROPERTY,LIGHT_BLUE,WESTERN_COASTAL,2400,240,750,3000,1250
7,National Event Card,EVENT,,,,,,
8,Wellawatte,PROPERTY,LIGHT_BLUE,WESTERN_COASTAL,2500,250,750,3000,1250
9,Mount Lavinia,PROPERTY,LIGHT_BLUE,WESTERN_COASTAL,2800,280,750,3000,1250
10,Jail / Just Visiting,SPECIAL,,,,,,
11,Nugegoda,PROPERTY,PINK,WESTERN_RESIDENTIAL,3200,320,1000,4000,1750
12,Ceylon Electricity Board,UTILITY,,,,2500,,,1250
13,Maharagama,PROPERTY,PINK,WESTERN_RESIDENTIAL,3500,350,1000,4000,1750
14,Kottawa,PROPERTY,PINK,WESTERN_RESIDENTIAL,3800,380,1000,4000,1750
15,Kandy Railway Station,RAILWAY,,CENTRAL_HILL,2000,250,,1000
16,Negombo,PROPERTY,ORANGE,WESTERN_AIRPORT,4200,420,1250,5000,2250
17,Sri Lanka Insurance,INSURANCE,,,,,,
18,Katunayake,PROPERTY,ORANGE,WESTERN_AIRPORT,4500,450,1250,5000,2250
19,Ja-Ela,PROPERTY,ORANGE,WESTERN_AIRPORT,4800,480,1250,5000,2250
20,Free Parking,SPECIAL,,,,,,
21,Kandy City,PROPERTY,RED,CENTRAL_HILL,5200,520,1500,6000,2750
22,National Event Card,EVENT,,,,,,
23,Peradeniya,PROPERTY,RED,CENTRAL_HILL,5500,550,1500,6000,2750
24,Katugastota,PROPERTY,RED,CENTRAL_HILL,5800,580,1500,6000,2750
25,Galle Railway Station,RAILWAY,,SOUTHERN_PROVINCE,2000,250,,1000
26,Galle Fort,PROPERTY,YELLOW,SOUTHERN_PROVINCE,4500,750,2000,8000,3250
27,Unawatuna,PROPERTY,YELLOW,SOUTHERN_PROVINCE,6500,650,2000,8000,3250
28,National Water Supply and Drainage Board,UTILITY,,,,2500,,,1250
29,Hikkaduwa,PROPERTY,YELLOW,SOUTHERN_PROVINCE,6800,680,2000,8000,3250
30,Go To Jail,SPECIAL,,,,,,
31,Jaffna Town,PROPERTY,GREEN,NORTHERN_PROVINCE,7500,750,2500,10000,4000
32,Nallur,PROPERTY,GREEN,NORTHERN_PROVINCE,8000,800,2500,10000,4000
33,Ceylinco Insurance,INSURANCE,,,,,,
34,Trincomalee,PROPERTY,GREEN,EASTERN_PROVINCE,8500,850,2500,10000,4000
35,Jaffna Railway Station,RAILWAY,,NORTHERN_PROVINCE,2000,250,,1000
36,National Event Card,EVENT,,,,,,
37,Nuwara Eliya,PROPERTY,DARK_BLUE,CENTRAL_HILL,9500,950,3000,12000,5000
38,Bank of Ceylon,BANK,,,,,,
39,Galle Face,PROPERTY,DARK_BLUE,PRIME_LUXURY,10000,1000,3000,12000,5000
